town,lat,lon,pharmacies,parks,fetched_at,leisure_centres,gyms,community_centres,bus_stops,gp_surgeries,county,care_score,green_score,active_score,social_score,mobility_score,overall_score
Penzance,50.1186,-5.5371,3,15,2026-03-01 06:20:22,2,1,2,125,0,Cornwall,17.6,21.9,6.1,8.7,24.8,15.8
Henley-on-Thames,51.5361,-0.9028,3,9,2026-03-01 06:12:38,8,3,4,34,3,Oxfordshire,17.6,12.5,22.6,17.4,6.3,15.3
Cardigan,52.0806,-4.6597,3,3,2026-03-01 06:04:57,4,3,8,32,1,Ceredigion,17.6,3.1,13.9,34.8,5.9,15.1
Petersfield,51.0022,-0.9375,2,12,2026-03-01 06:20:37,4,0,4,84,2,Hampshire,11.8,17.2,8.7,17.4,16.5,14.3
Dorchester,50.715,-2.4367,5,19,2026-03-01 06:08:05,2,2,0,28,2,Dorset,29.4,28.1,7.8,0.0,5.1,14.1
Louth,53.3667,-0.005,4,6,2026-03-01 06:13:38,5,1,2,90,1,Lincolnshire,23.5,7.8,12.6,8.7,17.7,14.1
Carmarthen,51.8578,-4.31,4,8,2026-03-01 06:05:26,4,0,4,46,0,Carmarthenshire,23.5,10.9,8.7,17.4,8.7,13.9
Matlock,53.14,-1.5561,2,17,2026-03-01 06:17:57,4,0,2,79,2,Derbyshire,11.8,25.0,8.7,8.7,15.4,13.9
Tewkesbury,51.9928,-2.1586,4,5,2026-03-01 06:26:39,3,2,3,75,2,Gloucestershire,23.5,6.2,10.0,13.0,14.6,13.5
Wimborne Minster,50.7997,-1.9842,4,12,2026-03-01 06:32:08,1,0,2,74,4,Dorset,23.5,17.2,2.2,8.7,14.4,13.2
Frome,51.2278,-2.3206,3,4,2026-03-01 06:10:12,2,2,2,131,1,Somerset,17.6,4.7,7.8,8.7,26.0,13.0
Bude,50.8267,-4.5436,2,7,2026-03-01 06:04:16,3,3,3,86,2,Cornwall,11.8,9.4,11.7,13.0,16.9,12.5
Ripon,54.138,-1.5239,2,15,2026-03-01 06:21:37,4,2,3,21,3,North Yorkshire,11.8,21.9,12.1,13.0,3.7,12.5
Conwy,53.2806,-3.8264,4,9,2026-03-01 06:07:00,3,1,2,43,1,Conwy,23.5,12.5,8.2,8.7,8.1,12.2
Bridport,50.7333,-2.7583,3,10,2026-03-01 06:03:49,2,0,4,37,1,Dorset,17.6,14.1,4.3,17.4,6.9,12.1
